Time,Direction
2023-01-21T01:00Z,108.76824607569881
2023-01-21T02:00Z,107.36519438028131
2023-01-21T03:00Z,105.29045240015202
2023-01-21T04:00Z,136.8479991689531
2023-01-21T05:00Z,126.63740578054885
2023-01-21T06:00Z,316.34775340247035
2023-01-21T07:00Z,320.99959856423936
2023-01-21T08:00Z,333.1644383290477
2023-01-21T09:00Z,326.80603106878704
2023-01-21T10:00Z,312.14527979272253
2023-01-21T11:00Z,238.54834794290701
2023-01-21T12:00Z,142.33516207089022
2023-01-21T13:00Z,222.32493749981404
2023-01-21T14:00Z,191.7211329812445
2023-01-21T15:00Z,188.60008869268748
2023-01-21T16:00Z,172.94884327365557
2023-01-21T17:00Z,185.20113033638182
2023-01-21T18:00Z,188.853466922209
2023-01-21T19:00Z,184.98674161891682
